Year.and.Quarter,Parameter,EPA.Region,Facility.Name,Oris.Code,Location.ID,Unit.Type,Primary.Fuel,Secondary.Fuel,Unit.Size,Unit.of.measurement,System.Identifier,Test.Number,RATA.Date,Op.Level.Code,Test.Reason.Code,CO2.O2.Reference.Method.Code,Reference.Method.Code,WAF,Default.WAF,Number.of.Load.Level,Relative.Accuracy,Overall.Bias.Adjustment.Factor,Bias.Adjustment.Factor,Average.Gross.Unit.Load,Confidence.Coefficient,Standard.Deviation.of.Difference,T.Value,Mean.Diff,Mean.CEM.Value,Mean.RATA.Reference,RATA.Frequency
20141,O2,2,B L England,2378,3,DB,OIL,,170,MW,360,360-Q1-2014-001,1/8/2014,H,QA,,3A,,,1,0,1,1,121,0,0,2.306,0,6.489,6.489,4QTRS
20141,O2,2,Hudson Generating Station,2403,2,DB,C,PNG,660,MW,596,RATA-Q12014-596-5,2/12/2014,L,QA,,3A,,,1,5.36,1,1,303,0.056,0.07,2.306,-0.556,11.956,11.4,4QTRS
20141,O2,2,Mercer Generating Station,2408,1,WBF,C,PNG,348,MW,818,RATA-Q12014-818-3,1/21/2014,L,QA,,3A,,,1,2,1,1,90,0.046,0.06,2.306,-0.211,13.044,12.833,4QTRS
20141,O2,2,Mercer Generating Station,2408,2,WBF,C,PNG,347,MW,892,RATA-Q12014-892-22,1/10/2014,L,QA,,3A,,,1,0.67,1,1,105,0.037,0.05,2.262,-0.04,11.59,11.55,4QTRS
20141,O2,3,Gilberton Power Company,10113,CS001,CFB,CRF,,850,KLBHR,209,209-Q1-2014-001,3/12/2014,H,QA,,3A,,,1,2.49,1,1,774,0.056,0.07,2.306,0.044,3.989,4.033,4QTRS
20141,O2,6,Air Liquide Bayport Complex,10298,CG802,CC,PNG,OGS,100,MW,O20,O20-14Q1-022514,2/25/2014,H,QA,,3A,,,1,1.25,1,1,68,0.041,0.05,2.306,-0.138,14.409,14.271,4QTRS
20141,O2,6,Air Liquide Bayport Complex,10298,CG804,CC,PNG,OGS,100,MW,O40,O40-14Q1-22714R,2/27/2014,H,QA,,3A,,,1,1.29,1,1,77,0.026,0.03,2.306,0.16,14.268,14.428,4QTRS
20141,O2,2,Carneys Point,10566,1001,DB,C,"DSL,OIL",1306,KLBHR,390,O2-390-2014022415,2/24/2014,H,QA,,3A,,,1,2.08,1,1,1233,0.041,0.05,2.306,-0.056,4.667,4.611,4QTRS
20141,O2,2,Carneys Point,10566,1002,DB,C,"DSL,OIL",1306,KLBHR,490,O2-490-2014022117,2/21/2014,H,QA,,3A,,,1,9.35,1,1,1201,0.084,0.11,2.306,0.322,4.022,4.344,4QTRS
20141,O2,3,UCC South Charleston Plant,50151,B26,OB,NNG,,250,KLBHR,26D,17,3/20/2014,L,QA,,3A,,,1,4.09,1,1,34,0.051,0.07,2.306,-0.422,12.011,11.589,OS
20141,O2,3,UCC South Charleston Plant,50151,B27,OB,NNG,PRG,180,KLBHR,27C,70,3/18/2014,L,QA,,3A,,,1,3.11,1,1,32,0.071,0.09,2.306,0.311,11.967,12.278,OS
20142,O2,3,RockTenn West Point Mill,10017,2,T,C,"OIL,PNG",450,KLBHR,210,2Q2014-1-O2,4/22/2014,H,QA,,3A,,,1,3.8,1,1,426,0.068,0.09,2.306,0.156,5.722,5.878,OS
20142,O2,2,Logan Generating Plant,10043,1001,DB,C,,1650,KLBHR,190,1901-2014052818,5/28/2014,L,QA,,3A,,,1,2.66,1,1,470,0.038,0.05,2.306,0.167,7.556,7.722,4QTRS
20142,O2,6,Air Liquide Bayport Complex,10298,CG801,CC,PNG,OGS,100,MW,O10,O10-14Q2-140514,5/14/2014,H,QA,,3A,,,1,2.8,1,1,78,0.165,0.22,2.306,-0.247,14.951,14.704,4QTRS
20142,O2,5,ArcelorMittal Cleveland LLC,10398,B001,DB,PRG,"OIL,PNG",230,KLBHR,O2D,O2D-Q2-2014-002,4/3/2014,H,QA,,3A,,,1,0.74,1,1,196,0.071,0.09,2.306,-0.011,11.189,11.178,OS
20142,O2,5,ArcelorMittal Cleveland LLC,10398,B002,DB,PRG,"OIL,PNG",230,KLBHR,O2D,O2D-Q2-2014-004,5/22/2014,H,QA,,3A,,,1,5.46,1,1,221,0.236,0.31,2.306,-0.278,9.689,9.411,OS
20142,O2,5,ArcelorMittal Cleveland LLC,10398,B003,DB,PRG,"OIL,PNG",230,KLBHR,O2D,O2D-Q2-2014-001,4/1/2014,H,QA,,3A,,,1,4.91,1,1,217,0,0,2.306,0.4,7.744,8.144,OS
20142,O2,5,ArcelorMittal Cleveland LLC,10398,B007,DB,PRG,PNG,230,KLBHR,O2D,O2D-Q2-2014-003,4/8/2014,M,QA,,3A,,,1,4.82,1,1,162,0.115,0.15,2.306,0.1,4.367,4.467,OS
20142,O2,3,AES Beaver Valley LLC,10676,34,DB,C,,375,KLBHR,107,034-14-O2RATA,6/18/2014,L,QA,,3A,,,1,0.68,1,1,20,0.123,0.16,2.306,-0.002,18.451,18.449,4QTRS
20142,O2,5,Tate & Lyle,10867,123-08,CFB,C,PNG,399,KLBHR,201,004-Q2-2014-001,5/28/2014,H,QA,,3A,,,1,4.01,1,1,371,0.094,0.12,2.306,0.067,3.944,4.011,4QTRS
20142,O2,5,Tate & Lyle,10867,123-09,CFB,C,PNG,399,KLBHR,201,008-Q2-2014-001,6/5/2014,M,QA,,3A,,,1,1.02,1,1,351,0.046,0.06,2.306,0.011,5.589,5.6,4QTRS
20142,O2,3,UCC South Charleston Plant,50151,B27,OB,NNG,PRG,180,KLBHR,27C,72,4/30/2014,L,RECERT,,3A,,,1,0.97,1,1,52,0.041,0.05,2.306,0.044,8.7,8.744,OS
20142,O2,4,US Steel (Fairfield Works),50730,208,DB,PRG,PNG,300,KLBHR,O2D,O2D-Q2-2014-001,5/2/2014,L,QA,,3A,,,1,2.07,1,1,58,0.041,0.05,2.306,-0.244,14.033,13.789,OS
20142,O2,3,Panther Creek Energy Facility,50776,1,CFB,C,,410,KLBHR,141,141-Q2-2014-001,4/10/2014,H,QA,,3A,,,1,2.82,1,1,382,0.041,0.05,2.306,0.044,2.967,3.011,4QTRS
20142,O2,3,Panther Creek Energy Facility,50776,2,CFB,C,,410,KLBHR,241,241-Q2-2014-001,4/11/2014,H,QA,,3A,,,1,1.06,1,1,380,0.038,0.05,2.306,0,3.611,3.611,4QTRS
20142,O2,5,ArcelorMittal Warren,54207,B001,DB,OGS,PNG,300,KLBHR,113,37,4/10/2014,L,QA,,3A,,,1,1.95,1,1,169,0.075,0.1,2.306,0.122,10,10.122,OS
20142,O2,5,ArcelorMittal Warren,54207,B002,DB,OGS,NNG,250,KLBHR,213,20,4/8/2014,L,RECERT,,3A,,,1,0.43,1,1,169,0.054,0.07,2.306,0,12.6,12.6,OS
20142,O2,5,Lima Refinery,880083,B026,DB,PRG,,225,KLBHR,O2D,2014Q2-O2D-1,4/22/2014,H,QA,,3A,,,1,5.7,1,1,179,0,0,2.306,-0.2,3.711,3.511,OS
20143,O2,2,B L England,2378,2,C,C,OIL,170,MW,260,260-Q3-2014-003,7/24/2014,H,QA,,3A,,,1,2.31,1,1,158,0,0,2.306,-0.2,8.867,8.667,4QTRS
20143,O2,2,B L England,2378,3,DB,OIL,,170,MW,360,360-Q3-2013-003,8/20/2014,H,QA,,3A,,,1,4.82,1,1,144,0.116,0.15,2.306,-0.156,5.789,5.633,4QTRS
20143,O2,2,B L England,2378,3,DB,OIL,,170,MW,360,360-Q3-2014-001,8/28/2014,H,QA,,3A,,,1,1.92,1,1,127,0.026,0.03,2.306,-0.089,6.044,5.956,4QTRS
20143,O2,2,Sewaren Generating Station,2411,3,T,PNG,,117,MW,977,RATA-Q32014-977-1,8/20/2014,L,QA,,3A,,,1,2.29,1,1,34,0.051,0.07,2.306,-0.222,12.144,11.922,4QTRS
20143,O2,2,Sewaren Generating Station,2411,4,T,PNG,,131,MW,958,RATA-Q32014-958-1,8/22/2014,L,QA,,3A,,,1,3.15,1,1,31,0,0,2.306,-0.4,13.1,12.7,4QTRS
20143,O2,2,"Black River Generation, LLC",10464,CS-1,CFB,W,"OSF,PTC,TDF",600,KLBHR,OO2,RATA-Q32014-OO2-2,8/27/2014,H,QA,,3A,,,1,2.58,1,1,542,0.026,0.03,2.306,-0.089,4.522,4.433,4QTRS
20143,O2,2,"Black River Generation, LLC",10464,CS-1,CFB,W,"OSF,PTC,TDF",600,KLBHR,S12,RATA-Q32014-OO2-22,8/27/2014,H,QA,,3A,,,1,2.58,1,1,542,0.026,0.03,2.306,-0.089,4.522,4.433,4QTRS
20143,O2,3,AES Beaver Valley LLC,10676,32,DB,C,,375,KLBHR,107,032-3-14-RATAO2,7/23/2014,L,QA,,3A,,,1,0.26,1,1,123,0.011,0.02,2.306,-0.031,16.346,16.314,4QTRS
